,location,bath,price,BHK,total_sqft_new
7409,HSR Layout,2.0,46.0,2,1145.0
8180,HSR Layout,2.0,65.0,2,1142.0
9289,HSR Layout,2.0,46.0,2,1145.0
9696,HSR Layout,3.0,95.0,3,1844.0
10183,HSR Layout,2.0,46.0,2,1140.0
10672,HSR Layout,2.0,46.0,2,1140.0
11141,HSR Layout,2.0,46.0,2,1145.0
11210,HSR Layout,2.0,56.0,2,1009.0
11293,HSR Layout,2.0,46.0,2,1145.0
11459,HSR Layout,2.0,44.0,2,1100.0
11560,HSR Layout,2.0,60.0,2,1203.0
11884,HSR Layout,2.0,46.0,2,1140.0
12084,HSR Layout,2.0,70.0,2,1289.0
12559,HSR Layout,3.0,89.0,3,1844.0
13111,HSR Layout,2.0,60.0,2,1203.0
13148,HSR Layout,2.0,46.0,2,1140.0
73,Haralur Road,2.0,70.0,2,1240.0
291,Haralur Road,2.0,44.0,2,1027.0
326,Haralur Road,3.0,56.0,3,1464.0
516,Haralur Road,5.0,154.0,4,2805.0
645,Haralur Road,2.0,47.0,2,1194.0
730,Haralur Road,2.0,53.0,2,1202.0
802,Haralur Road,2.0,61.0,2,1056.0
971,Haralur Road,3.0,56.0,3,1464.0
1001,Haralur Road,3.0,100.0,3,1810.0
1031,Haralur Road,2.0,46.0,2,1194.0
1073,Haralur Road,4.0,154.0,4,2805.0
1106,Haralur Road,2.0,67.38,2,1225.0
1115,Haralur Road,2.0,44.0,2,1027.0
1174,Haralur Road,3.0,110.0,3,1875.0
1290,Haralur Road,2.0,47.0,2,1194.0
1394,Haralur Road,2.0,44.0,2,1027.0
1823,Haralur Road,2.0,46.0,2,1194.0
2212,Haralur Road,3.0,110.0,3,1875.0
2358,Haralur Road,2.0,44.0,2,1092.0
2499,Haralur Road,4.0,130.0,3,2475.0
2589,Haralur Road,2.0,73.0,2,1300.0
2597,Haralur Road,2.0,47.0,2,1194.0
2939,Haralur Road,2.0,67.38,2,1225.0
3294,Haralur Road,2.0,56.0,2,1464.0
3431,Haralur Road,2.0,44.0,2,1000.0
3746,Haralur Road,2.0,80.0,3,1444.0
4277,Haralur Road,2.0,44.0,2,1027.0
4342,Haralur Road,3.0,56.0,3,1464.0
4416,Haralur Road,2.0,70.0,2,1225.0
4434,Haralur Road,3.0,56.0,3,1464.0
4445,Haralur Road,2.0,46.0,2,1194.0
4569,Haralur Road,3.0,101.0,3,1830.0
4942,Haralur Road,2.0,56.0,2,1464.0
5189,Haralur Road,2.0,75.0,2,1300.0
5722,Haralur Road,2.0,44.0,2,1027.0
5773,Haralur Road,5.0,160.0,4,2805.0
5850,Haralur Road,2.0,44.0,2,1027.0
5855,Haralur Road,3.0,105.0,3,2017.0
6107,Haralur Road,2.0,90.0,3,1520.0
6197,Haralur Road,2.0,60.0,2,1300.0
6442,Haralur Road,2.0,60.0,2,1056.0
6519,Haralur Road,2.0,62.0,2,1245.0
6632,Haralur Road,2.0,58.0,2,1140.0
6970,Haralur Road,2.0,43.0,2,1027.0
7021,Haralur Road,2.0,47.0,2,1194.0
7281,Haralur Road,2.0,47.0,2,1194.0
7304,Haralur Road,3.0,90.0,3,1560.0
7542,Haralur Road,2.0,85.0,3,1520.0
7690,Haralur Road,2.0,44.0,2,1027.0
7785,Haralur Road,2.0,46.0,2,1194.0
7954,Haralur Road,3.0,73.0,3,1580.0
8144,Haralur Road,2.0,47.0,2,1194.0
8256,Haralur Road,4.0,154.0,4,2805.0
8361,Haralur Road,3.0,83.05,3,1510.0
8598,Haralur Road,3.0,100.0,3,1810.0
8823,Haralur Road,2.0,46.0,2,1194.0
9039,Haralur Road,2.0,46.0,2,1194.0
9282,Haralur Road,2.0,47.0,2,1194.0
9501,Haralur Road,2.0,47.0,2,1194.0
9655,Haralur Road,3.0,56.0,3,1464.0
9756,Haralur Road,3.0,85.0,3,1710.0
9848,Haralur Road,3.0,95.0,3,1730.0
10341,Haralur Road,2.0,67.48,2,1225.0
10411,Haralur Road,2.0,69.84,2,1225.0
10556,Haralur Road,2.0,46.0,2,1200.0
10914,Haralur Road,3.0,92.0,3,1976.0
11017,Haralur Road,2.0,75.0,2,1300.0
11529,Haralur Road,1.0,44.0,2,1027.0
11821,Haralur Road,2.0,75.0,2,1300.0
12138,Haralur Road,3.0,84.0,3,1890.0
12447,Haralur Road,2.0,67.65,2,1230.0
12619,Haralur Road,2.0,46.0,2,1194.0
12654,Haralur Road,2.0,44.0,2,1092.0
12707,Haralur Road,3.0,56.0,3,1464.0
12798,Haralur Road,3.0,97.0,3,1735.0
12964,Haralur Road,3.0,97.83,3,1810.0
12979,Haralur Road,2.0,46.0,2,1200.0
910,Harlur,2.0,69.0,2,1174.0
1397,Harlur,2.0,84.0,2,1197.0
1890,Harlur,2.0,76.0,2,1174.0
2140,Harlur,3.0,125.0,3,1754.0
2307,Harlur,2.0,85.0,2,1290.0
2394,Harlur,3.0,116.0,3,1752.12
2672,Harlur,3.0,124.0,3,1754.0
2725,Harlur,2.0,69.0,2,1152.0
3222,Harlur,2.0,87.0,2,1290.0
3251,Harlur,3.0,115.0,3,1749.0
3498,Harlur,5.0,155.0,3,2240.0
3823,Harlur,4.0,120.0,4,1884.0
3860,Harlur,2.0,79.0,2,1197.0
4384,Harlur,2.0,78.0,2,1174.0
4462,Harlur,3.0,100.0,3,1730.0
4887,Harlur,2.0,79.0,2,1197.0
4964,Harlur,3.0,112.0,3,1749.0
4994,Harlur,2.0,75.0,2,1174.0
5865,Harlur,3.0,110.0,3,1620.0
6026,Harlur,3.0,95.1,3,1630.0
6544,Harlur,3.0,130.0,3,1755.0
7037,Harlur,2.0,88.0,2,1331.0
7489,Harlur,3.0,128.0,3,1756.0
7518,Harlur,3.0,120.0,3,1749.0
7839,Harlur,2.0,82.0,2,1197.0
8079,Harlur,2.0,90.0,2,1303.0
8799,Harlur,2.0,75.0,2,1174.0
9023,Harlur,2.0,78.0,2,1197.0
9209,Harlur,2.0,89.9,2,1290.0
9254,Harlur,2.0,85.0,2,1386.0
9590,Harlur,2.0,74.0,2,1174.0
9661,Harlur,2.0,78.0,2,1174.0
10464,Harlur,3.0,115.0,3,1755.0
10759,Harlur,4.0,175.0,4,2569.0
11115,Harlur,2.0,77.0,2,1197.0
11243,Harlur,3.0,125.0,3,1752.12
11456,Harlur,5.0,180.0,4,2569.0
11696,Harlur,2.0,76.0,2,1197.0
12024,Harlur,2.0,75.0,2,1197.0
12053,Harlur,3.0,117.0,3,1755.0
12205,Harlur,2.0,79.9,2,1197.0
12623,Harlur,2.0,88.0,2,1370.0
32,Hebbal,2.0,123.0,3,1760.0
228,Hebbal,3.0,119.0,3,1900.0
293,Hebbal,2.0,98.2,2,1349.0
466,Hebbal,2.0,130.0,3,1760.0
550,Hebbal,5.0,260.0,3,3450.0
620,Hebbal,3.0,134.0,3,1920.0
710,Hebbal,2.0,82.0,2,1337.0
817,Hebbal,2.0,98.0,2,1349.0
1201,Hebbal,2.0,77.68,3,1255.0
1320,Hebbal,3.0,83.87,3,1355.0
1467,Hebbal,3.0,127.0,3,1790.0
1484,Hebbal,2.0,42.72,2,687.325
1536,Hebbal,5.0,198.0,4,2790.0
1764,Hebbal,2.0,55.0,2,812.0
1840,Hebbal,4.0,198.0,4,2790.0
2191,Hebbal,4.0,230.0,4,3067.0
2617,Hebbal,4.0,230.0,4,3067.0
2700,Hebbal,2.0,77.68,3,1255.0
2756,Hebbal,2.0,50.63,2,823.0
2816,Hebbal,3.0,65.4,3,1069.0
2960,Hebbal,2.0,99.39,2,1420.0
3040,Hebbal,3.0,124.0,3,1700.0
3216,Hebbal,2.0,99.39,2,1420.0
3338,Hebbal,3.0,83.87,3,1355.0
3493,Hebbal,2.0,115.0,2,1440.0
3652,Hebbal,3.0,83.87,3,1355.0
3781,Hebbal,4.0,180.0,3,2400.0
3786,Hebbal,2.0,77.68,3,1255.0
3792,Hebbal,2.0,107.0,2,1420.0
3808,Hebbal,2.0,92.0,2,1320.0
3868,Hebbal,3.0,135.0,3,1645.0
3914,Hebbal,3.0,83.87,3,1355.0
3985,Hebbal,3.0,195.0,3,2600.0
4100,Hebbal,3.0,117.0,3,1645.0
4132,Hebbal,2.0,88.73,2,1251.0
4224,Hebbal,3.0,121.0,3,1645.0
4472,Hebbal,3.0,123.0,3,1760.0
4488,Hebbal,4.0,198.0,4,2790.0
4662,Hebbal,3.0,120.0,3,1645.0
4671,Hebbal,2.0,90.0,3,1255.0
4686,Hebbal,3.0,117.0,3,1645.0
4733,Hebbal,3.0,77.68,3,1255.0
4940,Hebbal,3.0,119.0,3,1636.0
5077,Hebbal,2.0,95.0,3,1255.0
5097,Hebbal,4.0,198.0,4,2790.0
5226,Hebbal,2.0,95.0,3,1255.0
5323,Hebbal,2.0,97.8,2,1349.0
5437,Hebbal,3.0,77.68,3,1255.0
5439,Hebbal,2.0,108.0,2,1344.0
5527,Hebbal,2.0,90.0,3,1255.0
5533,Hebbal,3.0,77.68,3,1255.0
5741,Hebbal,5.0,204.0,4,2790.0
6729,Hebbal,5.0,198.0,4,2790.0
6870,Hebbal,2.0,100.0,2,1299.0
7015,Hebbal,3.0,117.0,3,1645.0
7029,Hebbal,2.0,95.0,2,1390.0
7177,Hebbal,2.0,100.0,2,1333.0
7299,Hebbal,3.0,83.87,3,1355.0
7322,Hebbal,4.0,199.0,3,2650.0
7502,Hebbal,3.0,140.0,3,1800.0
7756,Hebbal,4.0,203.0,4,2470.0
7821,Hebbal,2.0,95.0,3,1255.0
7918,Hebbal,2.0,104.0,2,1333.0
7950,Hebbal,3.0,117.0,3,1645.0
7952,Hebbal,3.0,199.0,3,2600.0
8092,Hebbal,2.0,97.0,2,1345.0
8422,Hebbal,2.0,62.0,2,985.0
8499,Hebbal,2.0,91.0,2,1320.0
8567,Hebbal,3.0,195.0,3,2388.0
9297,Hebbal,3.0,195.0,3,2600.0
9814,Hebbal,5.0,188.0,4,2630.0
9816,Hebbal,5.0,198.0,4,2790.0
9915,Hebbal,3.0,113.0,3,1645.0
10025,Hebbal,3.0,83.87,3,1355.0
10228,Hebbal,2.0,99.39,2,1420.0
10322,Hebbal,3.0,96.0,3,1590.0
10412,Hebbal,2.0,69.0,2,1162.0
10740,Hebbal,2.0,97.0,2,1299.0
10938,Hebbal,3.0,77.68,3,1255.0
10956,Hebbal,5.0,192.0,4,2470.0
11269,Hebbal,3.0,117.0,3,1645.0
11319,Hebbal,3.0,134.0,3,1920.0
11520,Hebbal,5.0,240.0,3,3520.0
11605,Hebbal,3.0,150.0,3,1920.0
11886,Hebbal,4.0,189.0,4,2375.0
11896,Hebbal,2.0,99.26,2,1420.0
11974,Hebbal,2.0,92.0,2,1252.0
12476,Hebbal,4.0,198.0,4,2790.0
12782,Hebbal,2.0,137.0,3,1740.0
12807,Hebbal,3.0,85.0,3,1430.0
13105,Hebbal,2.0,98.0,2,1349.0
13289,Hebbal,2.0,96.8,2,1349.0
181,Hebbal Kempapura,3.0,155.0,3,1700.0
1149,Hebbal Kempapura,3.0,175.0,3,1800.0
1459,Hebbal Kempapura,5.0,200.0,5,2280.0
2011,Hebbal Kempapura,4.0,240.0,3,2900.0
4207,Hebbal Kempapura,5.0,360.0,4,3900.0
4461,Hebbal Kempapura,2.0,140.0,3,1466.0
7011,Hebbal Kempapura,2.0,165.0,3,1725.0
8293,Hebbal Kempapura,3.0,132.0,2,1485.0
8663,Hebbal Kempapura,3.0,150.0,3,1800.0
8833,Hebbal Kempapura,5.0,200.0,5,2400.0
12072,Hebbal Kempapura,3.0,165.0,3,1785.0
12799,Hebbal Kempapura,3.0,175.0,3,1730.0
72,Hegde Nagar,3.0,101.0,3,1569.0
85,Hegde Nagar,7.0,210.0,6,3000.0
275,Hegde Nagar,3.0,132.0,3,2026.0
380,Hegde Nagar,3.0,115.0,3,1801.0
999,Hegde Nagar,4.0,145.0,3,2112.95
1923,Hegde Nagar,4.0,83.0,4,1200.0
3063,Hegde Nagar,3.0,113.0,3,1703.0
3150,Hegde Nagar,3.0,105.0,3,1570.0
3499,Hegde Nagar,3.0,103.0,3,1584.01
4084,Hegde Nagar,4.0,125.0,3,1965.0
4279,Hegde Nagar,2.0,75.0,2,1200.0
6789,Hegde Nagar,4.0,132.0,3,1965.0
7774,Hegde Nagar,3.0,125.0,3,1847.0
7777,Hegde Nagar,4.0,145.0,3,2144.6
8059,Hegde Nagar,3.0,119.0,3,1718.0
8250,Hegde Nagar,3.0,123.0,3,1847.0
9366,Hegde Nagar,4.0,135.0,3,2087.01
10266,Hegde Nagar,4.0,118.0,3,1884.0
10348,Hegde Nagar,4.0,122.0,3,1930.0
11000,Hegde Nagar,3.0,104.0,3,1584.01
12869,Hegde Nagar,2.0,66.0,2,1000.0
364,Hennur,2.0,52.0,2,1075.0
1133,Hennur,2.0,52.32,2,1255.0
1793,Hennur,2.0,57.0,2,1225.0
2246,Hennur,2.0,57.5,2,1255.0
2443,Hennur,2.0,57.0,2,1259.0
2715,Hennur,2.0,53.5,2,1255.0
2732,Hennur,2.0,60.0,2,1285.0
3022,Hennur,2.0,60.0,2,1285.0
3517,Hennur,2.0,58.0,2,1255.0
5205,Hennur,2.0,54.5,2,1255.0
6134,Hennur,2.0,55.5,2,1255.0
6653,Hennur,2.0,52.0,3,1260.0
6919,Hennur,2.0,50.0,2,1231.0
7183,Hennur,2.0,49.0,2,1160.0
7772,Hennur,2.0,53.5,2,1255.0
8263,Hennur,2.0,55.5,2,1255.0
8308,Hennur,2.0,57.5,2,1255.0
8634,Hennur,2.0,48.0,2,1020.0
9354,Hennur,2.0,52.32,2,1255.0
9462,Hennur,2.0,64.0,2,1295.0
9730,Hennur,2.0,70.5,3,1655.0
10326,Hennur,2.0,58.0,2,1255.0
10449,Hennur,2.0,62.0,2,1420.0
10953,Hennur,2.0,54.5,2,1155.0
11037,Hennur,2.0,52.32,2,1255.0
11222,Hennur,2.0,52.35,2,1255.0
11453,Hennur,2.0,54.5,2,1255.0
12184,Hennur,3.0,84.205,3,1830.5
12525,Hennur,2.0,55.5,2,1255.0
12667,Hennur,2.0,53.57,2,1255.0
13018,Hennur,2.0,56.5,2,1255.0
13034,Hennur,2.0,42.73,2,1050.0
13173,Hennur,2.0,62.0,2,1295.0
74,Hennur Road,3.0,140.0,3,2089.0
320,Hennur Road,2.0,83.09,2,1385.0
903,Hennur Road,3.0,120.0,3,1904.0
987,Hennur Road,3.0,109.0,3,1891.0
1102,Hennur Road,3.0,95.0,3,1561.0
1218,Hennur Road,2.0,60.0,3,1192.0
1619,Hennur Road,2.0,92.0,3,1482.0
1779,Hennur Road,2.0,83.73,3,1482.0
1842,Hennur Road,2.0,87.0,3,1482.0
2047,Hennur Road,3.0,101.0,3,1703.0
2258,Hennur Road,2.0,69.61,2,1232.0
2453,Hennur Road,3.0,102.0,3,1804.0
2851,Hennur Road,2.0,63.0,3,1186.0
2922,Hennur Road,3.0,99.27,3,1680.0
3091,Hennur Road,2.0,83.09,2,1385.0
3325,Hennur Road,3.0,93.94,3,1586.0
3330,Hennur Road,3.0,123.0,3,1975.0
3731,Hennur Road,2.0,49.5,2,901.0
3761,Hennur Road,3.0,86.56,3,1445.0
4075,Hennur Road,2.0,97.0,3,1482.0
4223,Hennur Road,2.0,62.0,3,1192.0
4350,Hennur Road,2.0,59.46,2,1036.0
4419,Hennur Road,3.0,109.0,3,1891.0
4457,Hennur Road,2.0,69.61,2,1232.0
4730,Hennur Road,3.0,102.0,3,1804.0
4785,Hennur Road,3.0,118.0,3,1936.0
4958,Hennur Road,3.0,96.5,3,1590.0
5054,Hennur Road,2.0,59.45,2,1036.0
5245,Hennur Road,3.0,125.0,3,1832.0
5358,Hennur Road,2.0,75.76,2,1341.0
5815,Hennur Road,3.0,95.0,3,1685.0
5880,Hennur Road,2.0,84.18,2,1414.0
6085,Hennur Road,3.0,133.0,3,1949.0
6284,Hennur Road,2.0,77.88,3,1250.0
6578,Hennur Road,3.0,110.0,3,1831.0
6949,Hennur Road,2.0,74.0,2,1232.0
6993,Hennur Road,2.0,66.0,2,1232.0
7079,Hennur Road,3.0,150.0,3,2700.0
7187,Hennur Road,2.0,66.0,2,1310.0
7618,Hennur Road,3.0,120.0,3,2002.0
7689,Hennur Road,2.0,69.6,2,1232.0
7713,Hennur Road,2.0,73.0,2,1195.0
7791,Hennur Road,2.0,54.92,2,1061.0
7794,Hennur Road,2.0,80.0,3,1585.0
8174,Hennur Road,3.0,128.0,3,2041.0
8473,Hennur Road,2.0,56.0,2,973.0
8548,Hennur Road,2.0,84.0,2,1255.0
8771,Hennur Road,2.0,83.0,2,1232.0
8846,Hennur Road,3.0,116.0,3,1832.0
8967,Hennur Road,3.0,120.0,3,2050.0
9179,Hennur Road,2.0,86.69,3,1445.0
9421,Hennur Road,2.0,83.0,3,1445.0
9622,Hennur Road,3.0,94.86,3,1679.0
9735,Hennur Road,3.0,97.8,3,1654.0
9837,Hennur Road,3.0,100.0,3,1480.0
9849,Hennur Road,3.0,88.6,3,1450.0
9911,Hennur Road,2.0,69.18,2,1155.0
9996,Hennur Road,2.0,53.0,2,1053.0
10443,Hennur Road,3.0,129.0,3,1904.0
10455,Hennur Road,3.0,134.0,3,1981.0
10630,Hennur Road,2.0,69.18,2,1155.0
10841,Hennur Road,3.0,105.0,3,1590.0
10974,Hennur Road,3.0,138.0,3,2041.0
11020,Hennur Road,2.0,69.61,2,1232.0
11047,Hennur Road,3.0,103.0,3,1748.0
11132,Hennur Road,2.0,80.3,2,1460.0
11316,Hennur Road,2.0,69.61,2,1232.0
11562,Hennur Road,3.0,79.0,3,1450.0
11723,Hennur Road,2.0,89.56,3,1445.0
11771,Hennur Road,2.0,50.74,2,973.0
11805,Hennur Road,2.0,83.73,3,1482.0
11852,Hennur Road,2.0,77.0,3,1305.0
11892,Hennur Road,3.0,86.0,3,1672.0
12000,Hennur Road,2.0,67.0,2,1165.0
12033,Hennur Road,2.0,51.0,2,980.0
12043,Hennur Road,2.0,80.0,2,1232.0
12124,Hennur Road,2.0,55.0,2,950.0
12249,Hennur Road,3.0,110.0,3,1891.0
12542,Hennur Road,2.0,75.0,3,1470.0
12670,Hennur Road,2.0,80.0,2,1450.0
12891,Hennur Road,2.0,69.18,2,1155.0
13030,Hennur Road,3.0,131.0,3,1936.0
446,Hoodi,2.0,95.0,3,1715.0
689,Hoodi,4.0,111.0,4,2118.0
995,Hoodi,2.0,80.0,2,1425.0
1034,Hoodi,2.0,75.0,2,1420.0
1309,Hoodi,3.0,89.55,3,1606.0
1358,Hoodi,3.0,98.32,3,1639.0
1584,Hoodi,3.0,75.77,3,1512.0
1824,Hoodi,2.0,60.87,2,1026.0
2509,Hoodi,2.0,78.0,2,1400.0
2636,Hoodi,2.0,71.74,2,1196.0
3142,Hoodi,3.0,83.09,3,1553.0
3494,Hoodi,2.0,84.0,2,1500.0
3798,Hoodi,2.0,57.63,2,1055.0
4138,Hoodi,2.0,114.0,3,1925.0
4438,Hoodi,2.0,82.0,2,1400.0
4735,Hoodi,2.0,69.0,2,1257.0
4866,Hoodi,2.0,67.9,2,1132.0
5182,Hoodi,3.0,110.0,3,1925.0
5707,Hoodi,3.0,96.87,3,1769.0
5823,Hoodi,2.0,71.03,2,1257.0
6130,Hoodi,2.0,75.0,2,1305.0
6669,Hoodi,3.0,79.0,3,1490.0
6788,Hoodi,2.0,65.0,2,1240.0
7931,Hoodi,2.0,68.5,2,1257.0
8591,Hoodi,2.0,61.17,2,1063.0
8962,Hoodi,2.0,69.45,2,1259.0
9476,Hoodi,1.0,42.65,1,711.0
9587,Hoodi,3.0,81.55,3,1559.0
9995,Hoodi,2.0,100.0,3,1715.0
10274,Hoodi,3.0,70.0,3,1350.0
11609,Hoodi,3.0,76.0,2,1447.0
12165,Hoodi,2.0,66.46,2,1108.0
12291,Hoodi,3.0,74.0,3,1400.0
12346,Hoodi,3.0,110.0,3,1837.0
13250,Hoodi,3.0,85.0,3,1490.0
658,Horamavu Agara,2.0,45.0,2,1200.0
1054,Horamavu Agara,3.0,75.0,3,1560.0
1651,Horamavu Agara,2.0,75.0,3,1650.0
1803,Horamavu Agara,2.0,39.0,2,950.0
3774,Horamavu Agara,2.0,43.09,2,1106.0
3922,Horamavu Agara,2.0,41.0,2,1079.0
6766,Horamavu Agara,2.0,41.51,2,1107.83
6895,Horamavu Agara,2.0,38.19,2,980.0
8388,Horamavu Agara,2.0,46.0,2,1000.0
10780,Horamavu Agara,1.0,27.0,1,625.0
11155,Horamavu Agara,2.0,42.28,2,994.0
11330,Horamavu Agara,2.0,41.51,2,1107.83
12640,Horamavu Agara,2.0,52.0,3,1300.0
12725,Horamavu Agara,2.0,46.0,2,1090.0
12917,Horamavu Agara,3.0,63.0,3,1400.0
13046,Horamavu Agara,3.0,70.0,3,1557.0
13151,Horamavu Agara,2.0,47.0,2,1058.0
1005,Horamavu Banaswadi,3.0,66.0,3,1611.0
1433,Horamavu Banaswadi,2.0,46.0,2,1156.0
2045,Horamavu Banaswadi,2.0,51.6,2,1307.0
3739,Horamavu Banaswadi,2.0,54.0,2,1357.0
3955,Horamavu Banaswadi,2.0,38.0,2,925.0
4480,Horamavu Banaswadi,2.0,48.0,2,1272.0
6133,Horamavu Banaswadi,2.0,49.5,2,1225.0
6363,Horamavu Banaswadi,2.0,51.5,2,1272.0
6494,Horamavu Banaswadi,2.0,51.5,2,1272.0
6855,Horamavu Banaswadi,2.0,46.9,2,1156.0
7136,Horamavu Banaswadi,2.0,45.0,2,1200.0
7317,Horamavu Banaswadi,2.0,47.0,2,1254.0
9260,Horamavu Banaswadi,3.0,68.0,3,1610.0
9350,Horamavu Banaswadi,2.0,50.0,2,1210.0
10655,Horamavu Banaswadi,2.0,54.0,2,1357.0
10962,Horamavu Banaswadi,2.0,50.0,2,1272.0
11026,Horamavu Banaswadi,2.0,45.0,2,1200.0
12042,Horamavu Banaswadi,2.0,45.0,2,1025.0
128,Hormavu,2.0,78.0,2,1500.0
454,Hormavu,2.0,55.0,2,1150.0
1850,Hormavu,2.0,50.0,2,1180.0
2658,Hormavu,2.0,52.0,2,1175.0
3999,Hormavu,3.0,70.0,3,1500.0
4160,Hormavu,3.0,85.0,3,1725.0
4583,Hormavu,2.0,53.11,2,1150.0
5113,Hormavu,2.0,56.0,2,1123.0
5353,Hormavu,2.0,69.0,3,1385.0
5599,Hormavu,3.0,73.595,3,1617.5
6576,Hormavu,2.0,49.35,2,1030.0
6708,Hormavu,2.0,50.8,2,1018.0
6745,Hormavu,3.0,75.0,3,1555.0
7216,Hormavu,2.0,53.0,2,1143.0
7408,Hormavu,2.0,50.0,2,1000.0
8990,Hormavu,2.0,37.49,2,765.0
9088,Hormavu,3.0,58.0,3,1420.0
9205,Hormavu,2.0,60.0,2,1250.0
9285,Hormavu,1.0,28.275,1,583.0
9414,Hormavu,2.0,69.25,3,1385.0
9493,Hormavu,2.0,50.92,2,1065.0
10023,Hormavu,2.0,65.0,3,1365.0
10958,Hormavu,2.0,65.0,2,1250.0
11081,Hormavu,3.0,68.0,3,1604.0
11307,Hormavu,2.0,53.7,2,1075.0
11397,Hormavu,2.0,42.0,2,980.0
11455,Hormavu,2.0,53.7,2,1075.0
11502,Hormavu,4.0,115.0,4,2282.0
11704,Hormavu,2.0,55.0,2,1206.0
11825,Hormavu,2.0,67.0,2,1310.0
12002,Hormavu,2.0,60.0,2,1310.0
12384,Hormavu,2.0,45.75,2,1020.0
875,Hosa Road,3.0,85.0,3,1652.0
955,Hosa Road,3.0,80.0,3,1639.0
989,Hosa Road,2.0,55.15,2,1161.0
1293,Hosa Road,3.0,81.99,3,1726.0
2096,Hosa Road,2.0,55.15,2,1161.0
3110,Hosa Road,3.0,69.84,3,1541.0
3368,Hosa Road,1.0,28.29,1,615.0
4204,Hosa Road,2.0,52.0,2,1133.0
5232,Hosa Road,2.0,55.15,2,1161.0
6005,Hosa Road,2.0,50.0,2,880.0
7544,Hosa Road,2.0,61.0,2,1040.0
7812,Hosa Road,2.0,62.0,2,1245.0
8477,Hosa Road,1.0,39.99,1,800.0
8709,Hosa Road,3.0,81.99,3,1726.0
8912,Hosa Road,2.0,64.79,2,1364.0
9197,Hosa Road,2.0,45.0,2,1016.0
9755,Hosa Road,2.0,77.61,2,1360.0
10423,Hosa Road,2.0,65.0,2,1170.0
10808,Hosa Road,2.0,55.15,2,1161.0
11241,Hosa Road,2.0,84.22,3,1470.0
12328,Hosa Road,2.0,48.75,2,1161.0
12622,Hosa Road,3.0,69.61,3,1541.0
649,Hosakerehalli,3.0,262.0,3,2378.0
778,Hosakerehalli,3.0,203.0,3,2376.0
1262,Hosakerehalli,5.0,248.0,4,3024.0
3235,Hosakerehalli,5.0,250.0,5,2400.0
3290,Hosakerehalli,4.0,153.0,3,1817.0
3658,Hosakerehalli,2.0,100.0,2,1304.0
6089,Hosakerehalli,3.0,245.0,3,2480.0
6380,Hosakerehalli,4.0,260.0,3,2480.0
6896,Hosakerehalli,2.0,100.0,3,1200.0
8127,Hosakerehalli,4.0,300.0,4,3205.0
8142,Hosakerehalli,4.0,326.0,4,3033.0
9685,Hosakerehalli,2.0,65.0,2,600.0
9748,Hosakerehalli,4.0,265.0,3,2480.0
10940,Hosakerehalli,3.0,240.0,3,2376.0
13300,Hosakerehalli,6.0,145.0,5,1500.0
2058,Hoskote,3.0,50.0,3,1250.0
2915,Hoskote,3.0,40.0,3,1225.0
4088,Hoskote,3.0,60.0,3,1740.0
4155,Hoskote,2.0,45.0,2,1170.0
7176,Hoskote,2.0,38.0,3,1069.0
8121,Hoskote,2.0,33.6,2,1095.0
8493,Hoskote,3.0,50.0,3,1695.0
8543,Hoskote,2.0,31.5,2,1065.0
10465,Hoskote,2.0,35.0,2,945.0
11373,Hoskote,2.0,28.095,2,1003.5
12106,Hoskote,2.0,33.75,2,1065.0
430,Hosur Road,2.0,69.0,2,1194.0
879,Hosur Road,2.0,60.0,3,1145.0
1564,Hosur Road,2.0,80.63,3,1427.0
5215,Hosur Road,2.0,85.0,3,1733.0
5375,Hosur Road,2.0,60.0,2,950.0
5479,Hosur Road,2.0,71.64,2,1194.0
6276,Hosur Road,3.0,103.0,3,1689.0
6306,Hosur Road,5.0,180.0,5,3600.0
8396,Hosur Road,3.0,103.0,3,1689.0
9202,Hosur Road,4.0,160.0,4,3000.0
9807,Hosur Road,4.0,130.0,4,2000.0
10069,Hosur Road,2.0,65.0,2,1250.0
10356,Hosur Road,3.0,103.0,3,1689.0
11678,Hosur Road,3.0,90.0,3,1685.0
13282,Hosur Road,3.0,117.0,3,1919.0
154,Hulimavu,2.0,50.0,2,1125.0
180,Hulimavu,2.0,51.0,2,1242.0
449,Hulimavu,3.0,78.0,3,1650.0
721,Hulimavu,3.0,100.0,3,1823.0
1845,Hulimavu,2.0,71.5,2,1100.0
2101,Hulimavu,2.0,73.0,2,1255.0
2198,Hulimavu,4.0,75.0,4,1200.0
2490,Hulimavu,2.0,48.0,2,1058.0
2773,Hulimavu,2.0,80.0,2,1375.0
3041,Hulimavu,2.0,69.0,2,1248.0
3937,Hulimavu,2.0,55.0,2,1225.0
3952,Hulimavu,2.0,74.0,2,1255.0
4292,Hulimavu,2.0,69.0,2,1255.0
4739,Hulimavu,2.0,66.0,2,1255.0
6213,Hulimavu,5.0,220.0,3,3035.0
6245,Hulimavu,2.0,65.0,2,1127.0
6824,Hulimavu,2.0,50.0,2,1200.0
6864,Hulimavu,3.0,72.0,3,1450.0
7168,Hulimavu,2.0,75.0,2,1200.0
7345,Hulimavu,2.0,90.0,3,1430.0
7833,Hulimavu,1.0,39.5,2,850.0
7982,Hulimavu,2.0,45.0,2,1000.0
8247,Hulimavu,2.0,59.0,3,1320.0
9093,Hulimavu,4.0,100.0,4,2000.0
10059,Hulimavu,2.0,76.0,2,1276.0
